Payment Mode,Quarter,State,Total Amount,Total Transactions count,Year
Others,1,rajasthan,556409604.9103613,956656.0,2022
Merchant payments,2,rajasthan,208238945148.44,336900860.0,2022
Peer-to-peer payments,2,rajasthan,905641041298.7231,263380560.0,2022
Recharge & bill payments,2,rajasthan,38325678033.564705,59879660.0,2022
Financial Services,2,rajasthan,175399371.377488,170705.0,2022
Others,2,rajasthan,452454748.28668594,838365.0,2022
Merchant payments,3,rajasthan,230609701751.02283,398104319.0,2022
Peer-to-peer payments,3,rajasthan,961209376585.562,299383118.0,2022
Recharge & bill payments,3,rajasthan,46000391408.24405,69118763.0,2022
Financial Services,3,rajasthan,220271929.8423399,215235.0,2022
Others,3,rajasthan,449514643.60550064,719925.0,2022
Merchant payments,4,rajasthan,275194969877.524,457778005.0,2022
Peer-to-peer payments,4,rajasthan,1130380720682.52,334316758.0,2022
Recharge & bill payments,4,rajasthan,50609988781.94313,72510470.0,2022
Financial Services,4,rajasthan,270658680.979249,244442.0,2022
Others,4,rajasthan,500361375.69058275,725173.0,2022
Recharge & bill payments,1,sikkim,4823943.542263939,26965.0,2018
Peer-to-peer payments,1,sikkim,56334584.632872,13559.0,2018
Merchant payments,1,sikkim,1677583.1440411464,1349.0,2018
Financial Services,1,sikkim,86906.81958101383,608.0,2018
Others,1,sikkim,1727920.8016103164,1597.0,2018
Recharge & bill payments,2,sikkim,9465769.856051585,45435.0,2018
Peer-to-peer payments,2,sikkim,127051984.38798411,24237.0,2018
Merchant payments,2,sikkim,4713227.148135973,2556.0,2018
Financial Services,2,sikkim,218130.12995975127,562.0,2018
Others,2,sikkim,2243974.0076642134,1788.0,2018
Recharge & bill payments,3,sikkim,12221506.18938216,58421.0,2018
Peer-to-peer payments,3,sikkim,215547415.4557628,43195.0,2018
Merchant payments,3,sikkim,5322296.747954514,4521.0,2018
Financial Services,3,sikkim,261766.8021705601,562.0,2018
Others,3,sikkim,1727241.758047811,1801.0,2018
Recharge & bill payments,4,sikkim,16713780.62811737,79232.0,2018
Peer-to-peer payments,4,sikkim,351253329.7420565,65451.0,2018
Merchant payments,4,sikkim,12637809.23946042,7452.0,2018
Financial Services,4,sikkim,596472.7145790398,717.0,2018
Others,4,sikkim,1939965.7540404093,1681.0,2018
Peer-to-peer payments,1,sikkim,422987999.89472663,121984.0,2019
Recharge & bill payments,1,sikkim,20711589.874598,96878.0,2019
Merchant payments,1,sikkim,11837344.84684756,18346.0,2019
Financial Services,1,sikkim,191594.23340424805,1225.0,2019
Others,1,sikkim,2265105.53451732,1854.0,2019
Peer-to-peer payments,2,sikkim,674044301.8399961,172125.0,2019
Recharge & bill payments,2,sikkim,32535297.489453893,142582.0,2019
Merchant payments,2,sikkim,28248001.02647286,66722.0,2019
Financial Services,2,sikkim,310197.54774877685,2294.0,2019
Others,2,sikkim,3756445.53226958,4521.0,2019
Peer-to-peer payments,3,sikkim,794235862.6317358,203052.0,2019
Merchant payments,3,sikkim,52337322.5262961,188753.0,2019
Recharge & bill payments,3,sikkim,33922224.892257094,156125.0,2019
Financial Services,3,sikkim,548142.8999844441,288.0,2019
Others,3,sikkim,3672895.4901549704,4218.0,2019
Peer-to-peer payments,4,sikkim,1086457147.940953,508471.0,2019
Recharge & bill payments,4,sikkim,42705664.086257376,181287.0,2019
Merchant payments,4,sikkim,43954548.804204434,73992.0,2019
Financial Services,4,sikkim,494076.3450829056,373.0,2019
Others,4,sikkim,2898164.4797200123,2947.0,2019
Peer-to-peer payments,1,sikkim,954765350.1856782,230413.0,2020
Recharge & bill payments,1,sikkim,53588505.83882397,215586.0,2020
Merchant payments,1,sikkim,43201695.38937264,79881.0,2020
Financial Services,1,sikkim,175569.53933206247,345.0,2020
Others,1,sikkim,1745150.991195219,1893.0,2020
Recharge & bill payments,2,sikkim,78397187.10935993,297620.0,2020
Peer-to-peer payments,2,sikkim,939900165.9422412,186495.0,2020
Merchant payments,2,sikkim,34385184.657177515,31442.0,2020
Financial Services,2,sikkim,999656.0722047673,883.0,2020
Others,2,sikkim,936594.480283038,1291.0,2020
Recharge & bill payments,3,sikkim,83894642.6709112,298885.0,2020
Peer-to-peer payments,3,sikkim,1255521152.966514,245087.0,2020
Merchant payments,3,sikkim,58337178.6722376,49299.0,2020
Financial Services,3,sikkim,1795366.733436462,1252.0,2020
Others,3,sikkim,1378387.6172995246,1912.0,2020
Peer-to-peer payments,4,sikkim,1711730126.584541,334069.0,2020
Recharge & bill payments,4,sikkim,90168624.05415541,301382.0,2020
Merchant payments,4,sikkim,112478003.8639115,95503.0,2020
Financial Services,4,sikkim,2361187.592392395,1427.0,2020
Others,4,sikkim,2537863.027923054,2654.0,2020
Peer-to-peer payments,1,sikkim,1965492629.578867,403703.0,2021
Recharge & bill payments,1,sikkim,93174110.112334,279679.0,2021
Merchant payments,1,sikkim,154183320.13728723,112925.0,2021
Financial Services,1,sikkim,3027799.2784099854,1844.0,2021
Others,1,sikkim,1789867.7338266163,2038.0,2021
Peer-to-peer payments,2,sikkim,2125758496.6160913,473141.0,2021
Recharge & bill payments,2,sikkim,103846501.524041,345495.0,2021
Merchant payments,2,sikkim,190473176.2184894,153671.0,2021
Financial Services,2,sikkim,2851874.287465013,1865.0,2021
Others,2,sikkim,1969531.0292125773,2542.0,2021
Peer-to-peer payments,3,sikkim,2582075089.383399,595826.0,2021
Recharge & bill payments,3,sikkim,111613776.75942019,346173.0,2021
Merchant payments,3,sikkim,290732930.46291,213808.0,2021
Financial Services,3,sikkim,2624558.3857180667,1689.0,2021
Others,3,sikkim,2290508.8169457563,3098.0,2021
Peer-to-peer payments,4,sikkim,3548508409.656125,831597.0,2021
Recharge & bill payments,4,sikkim,136473754.40071422,376078.0,2021
Merchant payments,4,sikkim,504586163.55697846,369343.0,2021
Financial Services,4,sikkim,3162023.7210206646,2269.0,2021
Others,4,sikkim,4052910.300969372,5058.0,2021
Peer-to-peer payments,1,sikkim,3650961081.00263,916940.0,2022
Merchant payments,1,sikkim,570784579.6670712,449273.0,2022
Recharge & bill payments,1,sikkim,139135962.1036925,371579.0,2022
Financial Services,1,sikkim,3062332.163804472,2124.0,2022
Others,1,sikkim,3487320.9262269526,4386.0,2022
Peer-to-peer payments,2,sikkim,4596501308.1959305,1198014.0,2022
Merchant payments,2,sikkim,847497607.089355,706658.0,2022
Recharge & bill payments,2,sikkim,162174479.69733828,411189.0,2022
Financial Services,2,sikkim,1861284.7969863976,1758.0,2022
Others,2,sikkim,3070990.527526753,4462.0,2022
Peer-to-peer payments,3,sikkim,4173703593.656705,1222037.0,2022
Merchant payments,3,sikkim,830361400.9603965,772650.0,2022
Recharge & bill payments,3,sikkim,153567926.3217131,397207.0,2022
Financial Services,3,sikkim,2851319.5479129553,1538.0,2022
Others,3,sikkim,2396303.4047308513,3326.0,2022
Peer-to-peer payments,4,sikkim,5175155338.821596,1548662.0,2022
Merchant payments,4,sikkim,1096220774.2554631,1033541.0,2022
Recharge & bill payments,4,sikkim,181281682.3220814,470639.0,2022
Financial Services,4,sikkim,2701971.788609252,2049.0,2022
Others,4,sikkim,3025622.2320622765,3448.0,2022
Recharge & bill payments,1,tamil-nadu,646028338.3951533,3308548.0,2018
Peer-to-peer payments,1,tamil-nadu,10031518934.08568,2670613.0,2018
Merchant payments,1,tamil-nadu,272002057.1736871,326510.0,2018
Financial Services,1,tamil-nadu,31876073.74792233,115363.0,2018
Others,1,tamil-nadu,280132294.11422664,305588.0,2018
Recharge & bill payments,2,tamil-nadu,1189892955.805177,4464677.0,2018
Peer-to-peer payments,2,tamil-nadu,18067624388.09562,4433762.0,2018
Merchant payments,2,tamil-nadu,517130320.46603084,627918.0,2018
Financial Services,2,tamil-nadu,65402385.25640666,167035.0,2018
Others,2,tamil-nadu,285794226.64323723,298736.0,2018
Peer-to-peer payments,3,tamil-nadu,26792462660.044956,8810836.0,2018
Recharge & bill payments,3,tamil-nadu,1521551955.205038,5148411.0,2018
Merchant payments,3,tamil-nadu,733189649.5729835,1290978.0,2018
Financial Services,3,tamil-nadu,37049222.36590697,191732.0,2018
Others,3,tamil-nadu,245838753.995272,332121.0,2018
Peer-to-peer payments,4,tamil-nadu,39180083690.57276,11538547.0,2018
Recharge & bill payments,4,tamil-nadu,2020329567.824538,7093764.0,2018
Merchant payments,4,tamil-nadu,1742903221.432857,3145621.0,2018
Financial Services,4,tamil-nadu,46571758.68242933,228398.0,2018
Others,4,tamil-nadu,312185737.3815207,451114.0,2018
Peer-to-peer payments,1,tamil-nadu,51296299081.44436,18645926.0,2019
Recharge & bill payments,1,tamil-nadu,2695317014.866,8863289.0,2019
Merchant payments,1,tamil-nadu,1924461188.990014,4195222.0,2019
Financial Services,1,tamil-nadu,31217137.54532297,193261.0,2019
Others,1,tamil-nadu,256742393.2842679,377347.0,2019
Peer-to-peer payments,2,tamil-nadu,57924128549.06982,16952961.0,2019
Recharge & bill payments,2,tamil-nadu,3280033639.85004,8414514.0,2019
Merchant payments,2,tamil-nadu,2690331792.5060782,6296995.0,2019
Financial Services,2,tamil-nadu,18334602.38963153,70142.0,2019
Others,2,tamil-nadu,294847441.94211423,437125.0,2019
Peer-to-peer payments,3,tamil-nadu,70615331408.53966,21277636.0,2019
Merchant payments,3,tamil-nadu,4079315732.6616826,10344027.0,2019
Recharge & bill payments,3,tamil-nadu,3964144354.416151,9246678.0,2019
Financial Services,3,tamil-nadu,27213741.83107733,88261.0,2019
Others,3,tamil-nadu,273599406.1898495,453581.0,2019
Peer-to-peer payments,4,tamil-nadu,91858026341.27563,28814008.0,2019
Merchant payments,4,tamil-nadu,6420193204.780616,16153034.0,2019
Recharge & bill payments,4,tamil-nadu,4681454397.562926,11157765.0,2019
Financial Services,4,tamil-nadu,24332240.65556671,60624.0,2019
Others,4,tamil-nadu,206859328.26859048,410980.0,2019
Peer-to-peer payments,1,tamil-nadu,101907683045.2843,30880360.0,2020
Merchant payments,1,tamil-nadu,8950736938.223478,21541556.0,2020
Recharge & bill payments,1,tamil-nadu,5493239429.7322235,14134259.0,2020
Financial Services,1,tamil-nadu,41422107.81363036,61427.0,2020
Others,1,tamil-nadu,176604658.386683,335871.0,2020
Peer-to-peer payments,2,tamil-nadu,82347647064.12332,21700844.0,2020
Recharge & bill payments,2,tamil-nadu,6414781159.484189,18474731.0,2020
Merchant payments,2,tamil-nadu,6909361871.628205,11477546.0,2020
Financial Services,2,tamil-nadu,89189349.84916353,78584.0,2020
Others,2,tamil-nadu,65529451.74366937,138405.0,2020
Peer-to-peer payments,3,tamil-nadu,123561080533.0467,31754077.0,2020
Merchant payments,3,tamil-nadu,12554589575.50485,20664887.0,2020
Recharge & bill payments,3,tamil-nadu,7476952307.406668,17521756.0,2020
Financial Services,3,tamil-nadu,158512062.545901,129671.0,2020
Others,3,tamil-nadu,90281020.15995154,207434.0,2020
Peer-to-peer payments,4,tamil-nadu,172196381789.49103,47800741.0,2020
Merchant payments,4,tamil-nadu,24417758781.65223,41297305.0,2020
Recharge & bill payments,4,tamil-nadu,9462546013.163391,21563946.0,2020
Financial Services,4,tamil-nadu,186775413.14290392,153044.0,2020
Others,4,tamil-nadu,209735503.5452142,364665.0,2020
Peer-to-peer payments,1,tamil-nadu,206405230307.9611,57446279.0,2021
Merchant payments,1,tamil-nadu,30722779534.582497,53811885.0,2021
Recharge & bill payments,1,tamil-nadu,11115915388.739542,24826273.0,2021
Financial Services,1,tamil-nadu,215319360.4840321,170620.0,2021
Others,1,tamil-nadu,208899281.8834731,301617.0,2021
Peer-to-peer payments,2,tamil-nadu,216379027686.30243,60812902.0,2021
Merchant payments,2,tamil-nadu,33504798112.883823,52048347.0,2021
Recharge & bill payments,2,tamil-nadu,13155346942.25547,32753032.0,2021
Financial Services,2,tamil-nadu,225113402.6634022,192614.0,2021
Others,2,tamil-nadu,223054882.4467526,351547.0,2021
Merchant payments,3,tamil-nadu,52932187058.57519,85074941.0,2021
Peer-to-peer payments,3,tamil-nadu,296121079294.8346,83833356.0,2021
Recharge & bill payments,3,tamil-nadu,15613287081.611631,34751691.0,2021
Financial Services,3,tamil-nadu,246146707.2790811,182097.0,2021
Others,3,tamil-nadu,294622911.6328684,515319.0,2021
Merchant payments,4,tamil-nadu,70539086832.13815,117578360.0,2021
Peer-to-peer payments,4,tamil-nadu,353529424598.2304,104493071.0,2021
Recharge & bill payments,4,tamil-nadu,18979178477.53405,36163870.0,2021
Financial Services,4,tamil-nadu,275850497.094934,228761.0,2021
Others,4,tamil-nadu,400412189.8049112,691914.0,2021
Merchant payments,1,tamil-nadu,81798208975.87326,139788772.0,2022
Peer-to-peer payments,1,tamil-nadu,409631710258.4541,119383791.0,2022
Recharge & bill payments,1,tamil-nadu,20705079141.096962,34579431.0,2022
Financial Services,1,tamil-nadu,298216135.37755203,241201.0,2022
Others,1,tamil-nadu,355987089.83064437,579955.0,2022
Merchant payments,2,tamil-nadu,100813133534.0309,179245529.0,2022
Peer-to-peer payments,2,tamil-nadu,464333108374.57104,136341691.0,2022
Recharge & bill payments,2,tamil-nadu,24477663683.79348,38257271.0,2022
Financial Services,2,tamil-nadu,233054908.9697893,202498.0,2022
Others,2,tamil-nadu,277767177.03123105,459948.0,2022
Merchant payments,3,tamil-nadu,109801011246.1606,202149276.0,2022
Peer-to-peer payments,3,tamil-nadu,493880482824.98395,148805657.0,2022
Recharge & bill payments,3,tamil-nadu,27694221703.16715,41919063.0,2022
Financial Services,3,tamil-nadu,238069828.1652185,217741.0,2022
Others,3,tamil-nadu,265434770.7913805,404438.0,2022
Merchant payments,4,tamil-nadu,118847998736.56459,229308285.0,2022
Peer-to-peer payments,4,tamil-nadu,526511418812.77344,162920305.0,2022
Recharge & bill payments,4,tamil-nadu,29719449171.38699,43391904.0,2022
Financial Services,4,tamil-nadu,334812023.56560165,295740.0,2022
Others,4,tamil-nadu,275988847.1474179,400402.0,2022
Recharge & bill payments,1,telangana,831912767.5937189,4209319.0,2018
Peer-to-peer payments,1,telangana,11748268950.760422,3307245.0,2018
Merchant payments,1,telangana,282899066.6137372,351474.0,2018
Financial Services,1,telangana,57011875.36233704,262876.0,2018
Others,1,telangana,388111458.2121352,391852.0,2018
Peer-to-peer payments,2,telangana,20748520742.57553,4784079.0,2018
Recharge & bill payments,2,telangana,1274130053.834579,4686542.0,2018
Merchant payments,2,telangana,551696487.3185427,701082.0,2018
Financial Services,2,telangana,85498213.25384143,277805.0,2018
Others,2,telangana,357356020.669816,315162.0,2018
Peer-to-peer payments,3,telangana,29253505738.82874,11560952.0,2018
Recharge & bill payments,3,telangana,1568136060.627837,5328881.0,2018
Merchant payments,3,telangana,855534175.4794186,1770075.0,2018
Financial Services,3,telangana,52554123.97376218,307312.0,2018
Others,3,telangana,300363110.8137954,365483.0,2018
Peer-to-peer payments,4,telangana,44541667501.74112,15571288.0,2018
Recharge & bill payments,4,telangana,2165870863.1686497,7121135.0,2018
Merchant payments,4,telangana,2356841304.964929,5315161.0,2018
Financial Services,4,telangana,64569231.235592484,392423.0,2018
Others,4,telangana,380139546.93821603,521147.0,2018
Peer-to-peer payments,1,telangana,87361237975.49301,40488967.0,2019
Merchant payments,1,telangana,4144368545.5359693,12341901.0,2019
Recharge & bill payments,1,telangana,3619117615.4851723,11525394.0,2019
Financial Services,1,telangana,54547989.27545392,463688.0,2019
Others,1,telangana,343989909.8750894,470752.0,2019
Peer-to-peer payments,2,telangana,141095702899.1614,46741594.0,2019
Merchant payments,2,telangana,8442740781.469844,25682382.0,2019
Recharge & bill payments,2,telangana,5603477828.5489645,16225017.0,2019
Financial Services,2,telangana,43627344.86329398,252173.0,2019
Others,2,telangana,490894328.3915366,709213.0,2019
Peer-to-peer payments,3,telangana,180342868388.36203,59981113.0,2019
Merchant payments,3,telangana,14308557740.55424,44035953.0,2019
Recharge & bill payments,3,telangana,6793699069.387363,16437222.0,2019
Financial Services,3,telangana,39617186.74048498,183163.0,2019
Others,3,telangana,445278745.3818412,857925.0,2019
Peer-to-peer payments,4,telangana,249346680995.99307,82587060.0,2019
Merchant payments,4,telangana,21510626607.08445,59347809.0,2019
Recharge & bill payments,4,telangana,9561315124.602655,20797056.0,2019
Financial Services,4,telangana,33453857.40459593,137291.0,2019
Others,4,telangana,294688962.659046,703042.0,2019
Peer-to-peer payments,1,telangana,327641798044.8055,95668911.0,2020
Merchant payments,1,telangana,31076431477.91269,76818285.0,2020
Recharge & bill payments,1,telangana,12324266104.56499,26324268.0,2020
Financial Services,1,telangana,59500639.38684589,88184.0,2020
Others,1,telangana,241784101.5460485,509877.0,2020
Peer-to-peer payments,2,telangana,279478553909.7438,76683293.0,2020
Merchant payments,2,telangana,26712043204.891262,44181999.0,2020
Recharge & bill payments,2,telangana,15106945863.85704,30885875.0,2020
Financial Services,2,telangana,134169906.7475049,116776.0,2020
Others,2,telangana,100126467.191328,187200.0,2020
Peer-to-peer payments,3,telangana,437459188905.0534,116668399.0,2020
Merchant payments,3,telangana,49743225885.179474,86836471.0,2020
Recharge & bill payments,3,telangana,18378477087.57689,32352860.0,2020
Financial Services,3,telangana,223377023.5052515,195857.0,2020
Others,3,telangana,156875854.5548792,318539.0,2020
Peer-to-peer payments,4,telangana,591976601278.5154,160607487.0,2020
Merchant payments,4,telangana,81725950703.21272,143897953.0,2020
Recharge & bill payments,4,telangana,22006183348.80398,38174710.0,2020
Financial Services,4,telangana,275357720.01805824,230134.0,2020
Others,4,telangana,366346176.4068247,733503.0,2020
Merchant payments,1,telangana,95927278280.53006,185230619.0,2021
Peer-to-peer payments,1,telangana,676276353116.8419,179738195.0,2021
Recharge & bill payments,1,telangana,26447601338.53346,46371555.0,2021
Financial Services,1,telangana,320153410.17969453,262473.0,2021
Others,1,telangana,387877900.5044867,969268.0,2021
Peer-to-peer payments,2,telangana,872151973637.885,230861833.0,2021
Merchant payments,2,telangana,123207789311.29622,205232899.0,2021
Recharge & bill payments,2,telangana,31877277168.34322,58637866.0,2021
Financial Services,2,telangana,300569264.1443888,278546.0,2021
Others,2,telangana,420723415.91505665,856400.0,2021
Merchant payments,3,telangana,159227310549.39362,286735350.0,2021
Peer-to-peer payments,3,telangana,981754679241.0405,271436926.0,2021
Recharge & bill payments,3,telangana,36434881136.01624,62744121.0,2021
Financial Services,3,telangana,329138539.4612142,235519.0,2021
Others,3,telangana,543116826.3422191,1734852.0,2021
Merchant payments,4,telangana,212974766412.0155,376584215.0,2021
Peer-to-peer payments,4,telangana,1204991223519.016,331774591.0,2021
Recharge & bill payments,4,telangana,44760398983.30789,66477036.0,2021
Financial Services,4,telangana,392141743.6705663,298871.0,2021
Others,4,telangana,639658842.8998816,855060.0,2021
Merchant payments,1,telangana,243841863780.67932,449186799.0,2022
Peer-to-peer payments,1,telangana,1375289566667.705,368048408.0,2022
Recharge & bill payments,1,telangana,50470450179.882545,66352138.0,2022
Financial Services,1,telangana,394283511.9410973,284035.0,2022
Others,1,telangana,642005688.7661512,2582005.0,2022
Merchant payments,2,telangana,307468406704.909,565370506.0,2022
Peer-to-peer payments,2,telangana,1580014085694.835,422056582.0,2022
Recharge & bill payments,2,telangana,63136761649.393105,75099130.0,2022
Financial Services,2,telangana,324857780.5553103,245023.0,2022
Others,2,telangana,470432687.3850265,611316.0,2022
Merchant payments,3,telangana,447150646953.73694,880414292.0,2022
Peer-to-peer payments,3,telangana,2170173323588.5298,626830752.0,2022
Recharge & bill payments,3,telangana,87937210666.27194,119779835.0,2022
Financial Services,3,telangana,442783619.091239,340458.0,2022
Others,3,telangana,621900924.4423015,800064.0,2022
Merchant payments,4,telangana,491556008133.5354,1002521735.0,2022
Peer-to-peer payments,4,telangana,2393380395296.851,694612831.0,2022
Recharge & bill payments,4,telangana,92136759501.42021,121188131.0,2022
Financial Services,4,telangana,498719426.00543725,401838.0,2022
Others,4,telangana,680680558.3343163,782297.0,2022
Recharge & bill payments,1,tripura,14079439.56990594,86819.0,2018
Peer-to-peer payments,1,tripura,112229994.97675669,44844.0,2018
Financial Services,1,tripura,672247.5881710155,4842.0,2018
Merchant payments,1,tripura,6080959.882836086,4833.0,2018
Others,1,tripura,4916272.512952799,6819.0,2018
Recharge & bill payments,2,tripura,22554398.15273035,118171.0,2018
Peer-to-peer payments,2,tripura,197666881.87296882,73821.0,2018
Merchant payments,2,tripura,10570951.15156878,9621.0,2018
Financial Services,2,tripura,1264101.904810368,6925.0,2018
Others,2,tripura,4835385.634057636,6021.0,2018
Peer-to-peer payments,3,tripura,398867427.3246338,186065.0,2018
Recharge & bill payments,3,tripura,33484811.21282282,156308.0,2018
Merchant payments,3,tripura,16092396.41113394,21476.0,2018
Financial Services,3,tripura,1080000.0112896338,8106.0,2018
Others,3,tripura,4338753.080712541,5748.0,2018
Recharge & bill payments,4,tripura,38334816.66379926,204720.0,2018
Peer-to-peer payments,4,tripura,549068822.3729683,179739.0,2018
Merchant payments,4,tripura,31066467.63339032,50888.0,2018
Financial Services,4,tripura,1023126.8205747404,6441.0,2018
Others,4,tripura,5392365.973713988,6271.0,2018
Peer-to-peer payments,1,tripura,679165332.8123899,296993.0,2019
Recharge & bill payments,1,tripura,44429378.42277926,227997.0,2019
Merchant payments,1,tripura,28109966.31994779,46642.0,2019
Financial Services,1,tripura,461473.58856435167,4189.0,2019
Others,1,tripura,4728790.472138839,5105.0,2019
Peer-to-peer payments,2,tripura,751113516.2256755,240776.0,2019
Recharge & bill payments,2,tripura,48989430.60730426,218649.0,2019
Merchant payments,2,tripura,35275706.82877502,64829.0,2019
Financial Services,2,tripura,339184.3344705297,1899.0,2019
Others,2,tripura,6103644.851151889,6405.0,2019
Recharge & bill payments,3,tripura,81845425.35425141,339539.0,2019
Peer-to-peer payments,3,tripura,884623553.9011385,270163.0,2019
Merchant payments,3,tripura,44802063.64430427,68399.0,2019
Financial Services,3,tripura,582020.9903208594,27970.0,2019
Others,3,tripura,5524358.927209696,5646.0,2019
Recharge & bill payments,4,tripura,88001651.28693296,373779.0,2019
Peer-to-peer payments,4,tripura,1071507585.9983541,359076.0,2019
Merchant payments,4,tripura,51274033.720727704,62458.0,2019
Financial Services,4,tripura,377097.66713108413,2239.0,2019
Others,4,tripura,4239791.585043055,4272.0,2019
Recharge & bill payments,1,tripura,114355218.0351404,449584.0,2020
Peer-to-peer payments,1,tripura,1400694933.570157,366218.0,2020
Merchant payments,1,tripura,68590603.6377098,102861.0,2020
Financial Services,1,tripura,1066651.521721911,1722.0,2020
Others,1,tripura,4071399.6237732675,4117.0,2020
Recharge & bill payments,2,tripura,163220166.76643568,600206.0,2020
Peer-to-peer payments,2,tripura,1501452755.689023,346863.0,2020
Merchant payments,2,tripura,99795973.60794038,97816.0,2020
Financial Services,2,tripura,2247782.5219734698,2904.0,2020
Others,2,tripura,2459205.000588993,4731.0,2020
Recharge & bill payments,3,tripura,185201997.27960992,627363.0,2020
Peer-to-peer payments,3,tripura,1959371082.9173033,477769.0,2020
Merchant payments,3,tripura,190218136.28088412,202106.0,2020
Financial Services,3,tripura,3141391.5755430083,3828.0,2020
Others,3,tripura,3886908.1625436572,6819.0,2020
Peer-to-peer payments,4,tripura,2683789889.83192,650386.0,2020
Recharge & bill payments,4,tripura,192385823.4322018,631611.0,2020
Merchant payments,4,tripura,296872485.4156503,357567.0,2020
Financial Services,4,tripura,3666639.308697606,4084.0,2020
Others,4,tripura,5416158.232838955,8242.0,2020
Peer-to-peer payments,1,tripura,2821226150.591918,643366.0,2021
Recharge & bill payments,1,tripura,173211140.89346513,508718.0,2021
Merchant payments,1,tripura,333743281.3210389,350366.0,2021
Financial Services,1,tripura,2879929.222833151,3146.0,2021
Others,1,tripura,4281067.764165951,5827.0,2021
Peer-to-peer payments,2,tripura,2865655130.431326,703728.0,2021
Recharge & bill payments,2,tripura,189808502.9050523,589839.0,2021
Merchant payments,2,tripura,404915546.51771075,440060.0,2021
Financial Services,2,tripura,3503925.3381061675,3656.0,2021
Others,2,tripura,4271255.844077852,7146.0,2021
Peer-to-peer payments,3,tripura,3491901741.159418,864329.0,2021
Recharge & bill payments,3,tripura,215226019.5759628,620991.0,2021
Merchant payments,3,tripura,648504775.623629,584079.0,2021
Financial Services,3,tripura,3473153.087671739,2886.0,2021
Others,3,tripura,5028078.734792852,8915.0,2021
Peer-to-peer payments,4,tripura,4368786747.103016,1060915.0,2021
Merchant payments,4,tripura,874005407.7140213,793636.0,2021
Recharge & bill payments,4,tripura,241225282.0745188,650251.0,2021
Financial Services,4,tripura,5073898.6076811645,3635.0,2021
Others,4,tripura,7838128.800210228,12256.0,2021
Peer-to-peer payments,1,tripura,4934712034.365204,1221863.0,2022
Merchant payments,1,tripura,1037265262.6570491,992891.0,2022
Recharge & bill payments,1,tripura,262348230.9954375,641170.0,2022
Financial Services,1,tripura,5782533.2422681665,4351.0,2022
Others,1,tripura,7221703.089884497,10915.0,2022
Peer-to-peer payments,2,tripura,5354182193.788111,1443647.0,2022
Merchant payments,2,tripura,1235804019.563663,1322009.0,2022
Recharge & bill payments,2,tripura,278018856.1783528,638643.0,2022
Financial Services,2,tripura,4533635.768901512,3812.0,2022
Others,2,tripura,5732336.736273008,10553.0,2022
Peer-to-peer payments,3,tripura,6718925839.047781,1836678.0,2022
Merchant payments,3,tripura,1589078400.261532,1660497.0,2022
Recharge & bill payments,3,tripura,329401812.4140819,745382.0,2022
Financial Services,3,tripura,5330626.119674753,4343.0,2022
Others,3,tripura,5616127.06807068,9679.0,2022
Peer-to-peer payments,4,tripura,8142233538.414011,2252390.0,2022
Merchant payments,4,tripura,1925282618.810984,2054988.0,2022
Recharge & bill payments,4,tripura,373875271.1987865,874800.0,2022
Financial Services,4,tripura,5028488.55453164,5787.0,2022
Others,4,tripura,6551901.175783692,10225.0,2022
Recharge & bill payments,1,uttar-pradesh,1201827543.8816478,7003704.0,2018
Peer-to-peer payments,1,uttar-pradesh,11786969148.760592,4123625.0,2018
Merchant payments,1,uttar-pradesh,428301434.2754866,442436.0,2018
Financial Services,1,uttar-pradesh,75150444.99108115,397328.0,2018
Others,1,uttar-pradesh,447722351.3138524,570712.0,2018
Recharge & bill payments,2,uttar-pradesh,2044535461.4826078,9232131.0,2018
Peer-to-peer payments,2,uttar-pradesh,22197440015.94554,6484369.0,2018
Merchant payments,2,uttar-pradesh,799920463.267408,909545.0,2018
Financial Services,2,uttar-pradesh,105536911.8402665,563213.0,2018
Others,2,uttar-pradesh,572768843.1641636,521685.0,2018
Peer-to-peer payments,3,uttar-pradesh,32944051606.98276,13828768.0,2018
Recharge & bill payments,3,uttar-pradesh,2485029062.8899508,9140873.0,2018
Merchant payments,3,uttar-pradesh,1012726185.1169591,2397448.0,2018
Financial Services,3,uttar-pradesh,76605144.65776658,603303.0,2018
Others,3,uttar-pradesh,493702369.5936288,544964.0,2018
Peer-to-peer payments,4,uttar-pradesh,48836291123.914734,15804910.0,2018
Recharge & bill payments,4,uttar-pradesh,3040717446.728788,11976808.0,2018
Merchant payments,4,uttar-pradesh,2480267671.2597933,6953857.0,2018
Financial Services,4,uttar-pradesh,76250539.85851902,517619.0,2018
Others,4,uttar-pradesh,663216794.1554663,847573.0,2018
Peer-to-peer payments,1,uttar-pradesh,68506766330.451485,32062452.0,2019
Recharge & bill payments,1,uttar-pradesh,4231102032.956448,15400713.0,2019
Merchant payments,1,uttar-pradesh,3105904146.2085333,8558766.0,2019
Financial Services,1,uttar-pradesh,43341558.4853555,389733.0,2019
Others,1,uttar-pradesh,637066065.9078369,912840.0,2019
Peer-to-peer payments,2,uttar-pradesh,87581482658.94861,27105049.0,2019
Recharge & bill payments,2,uttar-pradesh,5627886175.9093685,17551537.0,2019
Merchant payments,2,uttar-pradesh,4894223107.452321,12733089.0,2019
Financial Services,2,uttar-pradesh,38169259.945291094,264091.0,2019
Others,2,uttar-pradesh,775758168.4201038,1229734.0,2019
