Place Name,Quarter,State,Total Amount,Total Transactions count,Year
kra daadi district,1,arunachal-pradesh,495375.1454853307,207.0,2018
changlang district,1,arunachal-pradesh,5380749.415278763,3195.0,2018
pakke kessang district,1,arunachal-pradesh,9131.404205737199,9.0,2018
dibang valley district,1,arunachal-pradesh,169.88856537681642,2.0,2018
west kameng district,1,arunachal-pradesh,9540632.547015157,5787.0,2018
east siang district,1,arunachal-pradesh,5533620.186295529,3286.0,2018
upper subansiri district,1,arunachal-pradesh,1358367.5018580484,735.0,2018
east kameng district,1,arunachal-pradesh,473824.76595106337,529.0,2018
lohit district,1,arunachal-pradesh,11496949.54576835,3747.0,2018
lepa rada district,1,arunachal-pradesh,403149.46702687367,288.0,2018
tawang district,1,arunachal-pradesh,5055665.022950603,2334.0,2018
namsai district,1,arunachal-pradesh,2162984.705083958,1400.0,2018
lower dibang valley district,2,arunachal-pradesh,2561237.506207262,1827.0,2018
lower subansiri district,2,arunachal-pradesh,4113742.04406352,1666.0,2018
longding district,2,arunachal-pradesh,10271170.16552131,4634.0,2018
west siang district,2,arunachal-pradesh,7610989.567485569,2579.0,2018
kamle district,2,arunachal-pradesh,23654.058373191845,12.0,2018
upper siang district,2,arunachal-pradesh,494895.09277159756,240.0,2018
tirap district,2,arunachal-pradesh,3126393.7649546335,1903.0,2018
papum pare district,2,arunachal-pradesh,66520931.20355792,25363.0,2018
kurung kumey district,2,arunachal-pradesh,123737.2220411206,83.0,2018
anjaw district,2,arunachal-pradesh,7871.020814692305,7.0,2018
siang district,2,arunachal-pradesh,740232.6309634304,336.0,2018
lower siang district,2,arunachal-pradesh,2179451.657976534,2292.0,2018
kra daadi district,2,arunachal-pradesh,987135.9959717204,247.0,2018
changlang district,2,arunachal-pradesh,13294258.50337311,6066.0,2018
pakke kessang district,2,arunachal-pradesh,58359.57138935899,48.0,2018
dibang valley district,2,arunachal-pradesh,65769.2036735354,68.0,2018
west kameng district,2,arunachal-pradesh,25521321.34140157,10466.0,2018
east siang district,2,arunachal-pradesh,15285584.202916931,6363.0,2018
upper subansiri district,2,arunachal-pradesh,2911910.3689207276,1285.0,2018
east kameng district,2,arunachal-pradesh,1825297.4617279815,522.0,2018
lohit district,2,arunachal-pradesh,20520618.88189011,6962.0,2018
lepa rada district,2,arunachal-pradesh,731444.7370576829,511.0,2018
tawang district,2,arunachal-pradesh,13722374.81135791,5447.0,2018
namsai district,2,arunachal-pradesh,6271811.327635023,3230.0,2018
lower dibang valley district,3,arunachal-pradesh,6074558.207066888,2824.0,2018
lower subansiri district,3,arunachal-pradesh,5154231.737357968,2346.0,2018
longding district,3,arunachal-pradesh,18327334.05075552,5288.0,2018
west siang district,3,arunachal-pradesh,12966152.79251931,3337.0,2018
kamle district,3,arunachal-pradesh,30504.94301319112,93.0,2018
upper siang district,3,arunachal-pradesh,743956.1055720671,250.0,2018
tirap district,3,arunachal-pradesh,7479257.007852319,3322.0,2018
papum pare district,3,arunachal-pradesh,101080479.2917223,43282.0,2018
kurung kumey district,3,arunachal-pradesh,303027.4066451341,255.0,2018
