App Openings,Place Name,Quarter,Registered Users Count,State,Year
0.0,kurung kumey district,3,222.0,arunachal-pradesh,2018
0.0,siang district,3,373.0,arunachal-pradesh,2018
0.0,kra daadi district,3,190.0,arunachal-pradesh,2018
0.0,changlang district,3,2889.0,arunachal-pradesh,2018
0.0,pakke kessang district,3,103.0,arunachal-pradesh,2018
0.0,east siang district,3,3590.0,arunachal-pradesh,2018
0.0,upper subansiri district,3,1169.0,arunachal-pradesh,2018
0.0,tawang district,3,3112.0,arunachal-pradesh,2018
0.0,namsai district,3,1862.0,arunachal-pradesh,2018
0.0,lower subansiri district,4,1459.0,arunachal-pradesh,2018
0.0,tirap district,4,1684.0,arunachal-pradesh,2018
0.0,papum pare district,4,21342.0,arunachal-pradesh,2018
0.0,anjaw district,4,744.0,arunachal-pradesh,2018
0.0,lower siang district,4,936.0,arunachal-pradesh,2018
0.0,dibang valley district,4,178.0,arunachal-pradesh,2018
0.0,west kameng district,4,6492.0,arunachal-pradesh,2018
0.0,shi yomi district,4,144.0,arunachal-pradesh,2018
0.0,east kameng district,4,691.0,arunachal-pradesh,2018
0.0,lohit district,4,3588.0,arunachal-pradesh,2018
0.0,lepa rada district,4,548.0,arunachal-pradesh,2018
0.0,lower dibang valley district,4,1827.0,arunachal-pradesh,2018
0.0,longding district,4,923.0,arunachal-pradesh,2018
0.0,west siang district,4,2117.0,arunachal-pradesh,2018
0.0,kamle district,4,109.0,arunachal-pradesh,2018
0.0,upper siang district,4,868.0,arunachal-pradesh,2018
0.0,kurung kumey district,4,321.0,arunachal-pradesh,2018
0.0,siang district,4,483.0,arunachal-pradesh,2018
0.0,kra daadi district,4,255.0,arunachal-pradesh,2018
0.0,changlang district,4,4036.0,arunachal-pradesh,2018
0.0,pakke kessang district,4,138.0,arunachal-pradesh,2018
0.0,east siang district,4,4813.0,arunachal-pradesh,2018
0.0,upper subansiri district,4,1576.0,arunachal-pradesh,2018
0.0,tawang district,4,4085.0,arunachal-pradesh,2018
0.0,namsai district,4,2495.0,arunachal-pradesh,2018
0.0,lower subansiri district,1,1879.0,arunachal-pradesh,2019
0.0,tirap district,1,2082.0,arunachal-pradesh,2019
0.0,papum pare district,1,26298.0,arunachal-pradesh,2019
0.0,anjaw district,1,934.0,arunachal-pradesh,2019
0.0,lower siang district,1,1123.0,arunachal-pradesh,2019
0.0,dibang valley district,1,211.0,arunachal-pradesh,2019
0.0,west kameng district,1,8115.0,arunachal-pradesh,2019
0.0,shi yomi district,1,186.0,arunachal-pradesh,2019
0.0,east kameng district,1,876.0,arunachal-pradesh,2019
0.0,lohit district,1,4416.0,arunachal-pradesh,2019
0.0,lepa rada district,1,710.0,arunachal-pradesh,2019
0.0,lower dibang valley district,1,2314.0,arunachal-pradesh,2019
0.0,longding district,1,1152.0,arunachal-pradesh,2019
0.0,west siang district,1,2656.0,arunachal-pradesh,2019
0.0,kamle district,1,141.0,arunachal-pradesh,2019
0.0,upper siang district,1,1125.0,arunachal-pradesh,2019
0.0,kurung kumey district,1,385.0,arunachal-pradesh,2019
0.0,siang district,1,651.0,arunachal-pradesh,2019
0.0,kra daadi district,1,350.0,arunachal-pradesh,2019
